from,to,weight,season
Mainz,1,50,2021
1,Deutschland,,
Nürnberg,33,3,2019
Stuttgart,42,,2021
33,Deutschland,,
42,Deutschland,,
Arsenal,5,30,2022
5,Griechenland,,
Hannover,2,40,2020
2,Deutschland,,
2,Usbekistan,,
Iwata,37,1,2021
37,Japan,,
Zagreb,24,60,2018
24,Kroatien,,
24,Deutschland,,
Freiburg,15,13,2020
15,Deutschland,,
Hamburg,23,,2018
23,Belgien,,
23,Kongo,,
Truiden,3,17,2020
3,Japan,,
Kiel,16,8,2019
16,Deutschland,,
Juventus,32,15,2021
32,Frankreich,,
32,Komoren,,
Chelsea,6,4,2019
6,England,,
6,Kongo,,
Monaco,8,18,2021
8,Frankreich,,
8,Martinique,,
Sandhausen,28,,2020
28,Dänemark,,
28,Ghana,,
Paris,14,80,2019
14,Kongo,,
Bielefeld,30,,2018
30,Deutschland,,
30,Italien,,
Düsseldorf,11,,2019
11,Deutschland,,
Sandhausen,20,30,2019
20,Deutschland,,
Instituto,31,17,2019
31,Deutschland,,
31,Argentinien,,
Stuttgart,25,,2020
25,Deutschland,,
Fenerbahce,34,,2021
34,Türkei,,
Wolfsburg,10,,2018
10,Deutschland,,
10,Benin,,
Paris,7,,2019
7,Frankreich,,
7,Elfenbeinküste,,
Paderborn,22,25,2021
22,Deutschland,,
Admira,9,18,2019
9,Österreich,,
9,Serbien,,
Sporting,18,5,2021
18,Portugal,,
Wolfsburg,17,,2021
17,Ägypten,,
17,Kanada,,
Vejle,19,45,2021
19,Dänemark,,
19,Afghanistan,,
Stuttgart,50,,2021
50,Frankreich,,
50,Kamerun,,
Stuttgart,44,,2021
44,Niederlande,,
44,Sierra Leone,,
